name,timestamp,network_name,value_counts
92000270*,2021-11-25,"T-Mobile USA, Inc",2
92000270*,2021-11-26,"T-Mobile USA, Inc",4
92000270*,2021-11-27,"T-Mobile USA, Inc",3
92000270*,2021-11-28,"T-Mobile USA, Inc",3
92000270*,2021-11-29,"T-Mobile USA, Inc",4
92000270*,2021-11-30,"T-Mobile USA, Inc",3
92000270*,2021-12-01,"T-Mobile USA, Inc",4
92000270*,2021-12-02,"T-Mobile USA, Inc",3
92000270*,2021-12-03,"T-Mobile USA, Inc",4
92000270*,2021-12-04,"T-Mobile USA, Inc",3
92000270*,2021-12-05,"T-Mobile USA, Inc",4
92000270*,2021-12-06,"T-Mobile USA, Inc",3
92000270*,2021-12-07,"T-Mobile USA, Inc",3
92000270*,2021-12-08,"T-Mobile USA, Inc",4
92000270*,2021-12-09,"T-Mobile USA, Inc",3
92000270*,2021-12-10,"T-Mobile USA, Inc",4
92000270*,2021-12-11,"T-Mobile USA, Inc",3
92000270*,2021-12-12,"T-Mobile USA, Inc",4
92000270*,2021-12-13,"T-Mobile USA, Inc",3
92000270*,2021-12-14,"T-Mobile USA, Inc",3
92000270*,2021-12-15,"T-Mobile USA, Inc",4
92000270*,2021-12-16,"T-Mobile USA, Inc",3
92000270*,2021-12-16,AT&T Mobility,2
92000270*,2021-12-17,AT&T Mobility,3
92000270*,2021-12-18,AT&T Mobility,4
92000270*,2021-12-19,AT&T Mobility,3
92000270*,2021-12-20,AT&T Mobility,4
92000270*,2021-12-21,AT&T Mobility,5
92000270*,2021-12-22,AT&T Mobility,4
92000270*,2021-12-23,AT&T Mobility,3
92000270*,2021-12-24,AT&T Mobility,5
92000270*,2021-12-25,AT&T Mobility,3
92000270*,2021-12-26,AT&T Mobility,4
92000270*,2021-12-27,AT&T Mobility,3
92000270*,2021-12-28,AT&T Mobility,4
92000270*,2021-12-29,AT&T Mobility,4
92000270*,2021-12-30,AT&T Mobility,3
92000270*,2021-12-31,AT&T Mobility,4
92000270*,2022-01-01,AT&T Mobility,4
92000270*,2022-01-02,AT&T Mobility,4
92000270*,2022-01-03,AT&T Mobility,3
92000270*,2022-01-04,AT&T Mobility,4
92000270*,2022-01-05,AT&T Mobility,3
92000270*,2022-01-06,AT&T Mobility,4
92000270*,2022-01-07,AT&T Mobility,3
92000270*,2022-01-08,AT&T Mobility,4
92000270*,2022-01-09,AT&T Mobility,3
92000270*,2022-01-10,AT&T Mobility,4
92000270*,2022-01-11,AT&T Mobility,4
